top - 11:30:02 up 17:33,  1 user,  load average: 14.66, 21.16, 21.42
Tasks: 486 total,   9 running, 476 sleeping,   0 stopped,   1 zombie
%Cpu(s): 48.6 us, 11.2 sy,  0.0 ni, 39.3 id,  0.0 wa,  0.0 hi,  0.9 si,  0.0 st
MiB Mem :  15892.7 total,   2073.6 free,   6386.9 used,   7432.2 buff/cache
MiB Swap:   2048.0 total,   2018.7 free,     29.2 used.   7694.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8387 root      20   0 1172580 419072  71380 S  40.9   2.6  27:32.68 kube-ap+
 529350 sid       20   0  287000  91340  21772 R  36.4   0.6   0:05.03 python3
 529094 sid       20   0 2533204  63408  18396 S  27.3   0.4   0:02.48 beam.smp
  17934 sid       20   0  440852 154708  16816 S  18.2   1.0   0:47.41 uwsgi
   7060 root      20   0 2666508 162588  66316 S  13.6   1.0  29:56.67 kubelet
 529494 siddhan+  20   0   20856   4548   3616 R  13.6   0.0   0:00.04 top
   5304 root      20   0 2934124 174292  49744 S   9.1   1.1  14:28.52 dockerd
 529046 sid       20   0 2524476  62672  18920 S   9.1   0.4   0:03.01 beam.smp
   1037 root      20   0  111640  21884  17604 S   4.5   0.1   0:04.44 sssd_be
   2710 siddhan+  20   0  584812 103612  52116 S   4.5   0.6   7:04.79 Xorg
   5283 root      20   0 1417532  60924  23936 S   4.5   0.4   2:34.14 contain+
   8369 root      20   0  821892 125348  62464 S   4.5   0.8  12:05.83 kube-co+
  13470 systemd+  20   0  741372  38024  22112 S   4.5   0.2   0:27.66 nginx-i+
 523192 root      20   0  113380   8236   6576 S   4.5   0.1   0:00.27 contain+
 523433 sid       20   0 2626856 115068  63456 S   4.5   0.7   0:27.10 beam.smp
 529322 sid       20   0  287004  91448  21876 R   4.5   0.6   0:04.95 python3
 529504 root      20   0  488184  15624   9492 R   4.5   0.1   0:00.01 runc
      1 root      20   0  170124  13048   7948 S   0.0   0.1   0:07.46 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:05.94 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:28.63 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.88 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:44.96 ksoftir+
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.86 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:05.21 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.87 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:04.78 ksoftir+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kauditd
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.04 khungta+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     42 root      20   0       0      0      0 S   0.0   0.0   0:13.20 kcompac+
     43 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     44 root      39  19       0      0      0 S   0.0   0.0   0:00.15 khugepa+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.77 kworker+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.69 kworker+
    107 root      20   0       0      0      0 S   0.0   0.0   0:07.34 kswapd0
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:03.92 kworker+
    189 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    198 root     -51   0       0      0      0 S   0.0   0.0   0:23.18 irq/51-+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.55 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:07.48 jbd2/sd+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    265 root      19  -1   78068  34680  33056 S   0.0   0.2   0:02.03 systemd+
    291 root      20   0    2496    568    504 S   0.0   0.0   0:01.23 bpfilte+
    363 root      20   0   24960   7536   3968 S   0.0   0.0   0:00.98 systemd+
    450 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    461 root     -51   0       0      0      0 S   0.0   0.0   1:01.14 irq/130+
    463 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    497 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    503 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    504 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    639 root       0 -20       0      0      0 I   0.0   0.0   0:01.31 kworker+
    779 systemd+  20   0   24812  13116   8844 S   0.0   0.1   0:03.21 systemd+
    880 root      20   0    2548    772    704 S   0.0   0.0   0:00.86 acpid
    882 avahi     20   0   19600   4288   3240 S   0.0   0.0   0:14.72 avahi-d+
    883 root      20   0    8424   4372   4012 S   0.0   0.0   0:00.03 bluetoo+
    884 message+  20   0   34672   6620   3932 S   0.0   0.0   0:06.24 dbus-da+
    886 root      20   0  624480  21108  16024 S   0.0   0.1   0:05.56 Network+
    894 root      20   0   81896   3736   3408 S   0.0   0.0   0:00.98 irqbala+
    895 root      20   0   39908  19860  11484 S   0.0   0.1   0:00.13 network+
    897 root      20   0  259696  10140   6564 S   0.0   0.1   0:03.24 polkitd
    900 syslog    20   0  234536   5004   3436 S   0.0   0.0   0:00.48 rsyslogd
    903 root      20   0 1023308  32340  15392 S   0.0   0.2   0:03.71 snapd
    906 root      20   0   48880  13316  11348 S   0.0   0.1   0:00.08 sssd
    907 root      20   0  235604   6040   5496 S   0.0   0.0   0:00.02 switche+
    909 root      20   0  126268   9352   8528 S   0.0   0.1   0:00.87 thermald
    910 root      20   0  393784  12816   9648 S   0.0   0.1   0:03.38 udisksd
    912 root      20   0   14344   8056   6768 S   0.0   0.0   0:00.27 wpa_sup+
    917 avahi     20   0   18560    332      0 S   0.0   0.0   0:00.00 avahi-d+
    961 root      20   0  784592  26668   5500 S   0.0   0.2   0:03.14 PanGPS
    978 root      20   0  241496  11128   9256 S   0.0   0.1   0:00.15 ModemMa+
    985 root      20   0   24164   9296   7884 S   0.0   0.1   0:00.06 certmon+
    989 jenkins   20   0 7900416 550152  31204 S   0.0   3.4   0:57.13 java
    990 root      20   0   40884   5180   4700 S   0.0   0.0   0:00.00 oddjobd
   1050 root      20   0   12188   5540   4708 S   0.0   0.0   0:00.00 sshd
   1053 _chrony   20   0   13024   2384   2068 S   0.0   0.0   0:00.21 chronyd
   1058 _chrony   20   0    4864   2144   1928 S   0.0   0.0   0:00.00 chronyd
   1117 root      20   0   62364  24868  23260 S   0.0   0.2   0:00.45 sssd_nss
   1118 root      20   0   37968  12412  10704 S   0.0   0.1   0:00.35 sssd_pam
   1119 root      20   0   37496  11956  10460 S   0.0   0.1   0:00.12 sssd_ssh
   1120 root      20   0   37632  12308  10700 S   0.0   0.1   0:00.16 sssd_su+
   1121 root      20   0   78008  15996  13844 S   0.0   0.1   0:00.12 sssd_pac
   1130 postgres  20   0  218288  28028  26108 S   0.0   0.2   0:00.25 postgres
   1162 root      20   0  247052   7528   6552 S   0.0   0.0   0:00.67 account+
   1163 root      20   0   18048   3116   2808 S   0.0   0.0   0:00.07 cron
   1164 root      20   0   37736   9948   7460 S   0.0   0.1   0:00.50 cupsd
   1165 root      20   0  179640  16048  10928 S   0.0   0.1   0:02.93 cups-br+
   1168 root      20   0   25944   8084   6952 S   0.0   0.0   0:00.77 systemd+
   1191 postgres  20   0  218408   7316   5424 S   0.0   0.0   0:00.00 postgres
   1192 postgres  20   0  218288   5372   3424 S   0.0   0.0   0:00.21 postgres
   1193 postgres  20   0  218288   9448   7660 S   0.0   0.1   0:00.18 postgres
   1194 postgres  20   0  218828   8104   5860 S   0.0   0.0   0:00.10 postgres
   1196 postgres  20   0   72652   4412   2480 S   0.0   0.0   0:00.12 postgres
   1197 postgres  20   0  218716   6312   4172 S   0.0   0.0   0:00.00 postgres
   1202 root      20   0  239616   8252   7084 S   0.0   0.1   0:00.04 gdm3
   1231 root      20   0  118176  22124  14236 S   0.0   0.1   0:00.08 unatten+
   1263 rtkit     21   1  152936   2864   2624 S   0.0   0.0   0:00.13 rtkit-d+
   1396 root      20   0  252344   9792   8404 S   0.0   0.1   0:01.59 upowerd
   1688 colord    20   0  254796  14236   8960 S   0.0   0.1   0:00.40 colord
   1761 root      20   0 1769152  76624  50800 S   0.0   0.5   0:07.59 dockerd
   1762 root      20   0    5700   3104   2848 S   0.0   0.0   0:00.62 inetd
   1764 mongodb   20   0 1521848  99844  40756 S   0.0   0.6   1:34.90 mongod
   1766 whoopsie  20   0  253132  15332  13436 S   0.0   0.1   0:00.09 whoopsie
   1771 kernoops  20   0   11264    440      0 S   0.0   0.0   0:00.82 kernelo+
   1776 kernoops  20   0   11264    448      0 S   0.0   0.0   0:00.83 kernelo+
   1779 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VB+
   1780 root      20   0       0      0      0 S   0.0   0.0   0:00.00 iprt-VB+
   2059 root      20   0 1230608   3092   2348 S   0.0   0.0   0:00.00 docker-+
   2066 root      20   0 1230608   3460   2688 S   0.0   0.0   0:00.01 docker-+
   2083 root      20   0  712456   9764   7408 S   0.0   0.1   0:03.35 contain+
   2099 root      20   0  711944   9140   6904 S   0.0   0.1   0:02.77 contain+
   2132 systemd+  20   0 1163024 195556  17808 S   0.0   1.2   0:11.66 mysqld
   2133 root      20   0  233340  36192  28828 S   0.0   0.2   0:00.75 apache2
   2344 www-data  20   0  233380   9140   1776 S   0.0   0.1   0:00.00 apache2
   2345 www-data  20   0  233380   9144   1776 S   0.0   0.1   0:00.00 apache2
   2346 www-data  20   0  233380   9144   1776 S   0.0   0.1   0:00.00 apache2
   2347 www-data  20   0  233380   9144   1776 S   0.0   0.1   0:00.00 apache2
   2348 www-data  20   0  233380   9144   1776 S   0.0   0.1   0:00.00 apache2
   2606 root      20   0  339440  10420   8548 S   0.0   0.1   0:00.07 gdm-ses+
   2624 siddhan+  20   0   19932  10160   7680 S   0.0   0.1   0:01.41 systemd
   2626 siddhan+  20   0  195132   3040      0 S   0.0   0.0   0:00.00 (sd-pam)
   2631 siddhan+   9 -11 2794204  21344  15916 S   0.0   0.1   4:24.24 pulseau+
   2633 siddhan+  39  19  659508  23300  14152 S   0.0   0.1   0:01.26 tracker+
   2635 siddhan+  20   0   26964   5612   3744 S   0.0   0.0   0:05.72 dbus-da+
   2640 siddhan+  20   0  387652   8008   7048 S   0.0   0.0   0:01.06 gnome-k+
   2657 siddhan+  20   0  239712   7832   6820 S   0.0   0.0   0:00.15 gvfsd
   2662 siddhan+  20   0  378348   6032   5416 S   0.0   0.0   0:00.01 gvfsd-f+
   2666 siddhan+  20   0  322572   9280   7540 S   0.0   0.1   0:01.82 gvfs-ud+
   2676 siddhan+  20   0  316728   7440   6600 S   0.0   0.0   0:00.44 gvfs-af+
   2681 siddhan+  20   0  235880   6068   5540 S   0.0   0.0   0:00.05 gvfs-go+
   2685 siddhan+  20   0  553160  33576  27188 S   0.0   0.2   0:04.60 goa-dae+
   2695 siddhan+  20   0  314240   9040   7732 S   0.0   0.1   0:06.26 goa-ide+
   2696 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2701 siddhan+  20   0  239900   7364   6676 S   0.0   0.0   0:00.00 gnome-k+
   2704 siddhan+  20   0  164020   6528   5896 S   0.0   0.0   0:00.01 gdm-x-s+
   2712 siddhan+  20   0  238108   6948   6120 S   0.0   0.0   0:00.06 gvfs-gp+
   2717 siddhan+  20   0  235704   6304   5708 S   0.0   0.0   0:00.05 gvfs-mt+
   2740 siddhan+  20   0  188264  13364  11884 S   0.0   0.1   0:00.08 gnome-s+
   2744 siddhan+  20   0  407464  20492   4064 S   0.0   0.1   0:03.47 PanGPA
   2816 siddhan+  20   0    6044     96      0 S   0.0   0.0   0:00.04 ssh-age+
   2834 siddhan+  20   0  305424   6596   6020 S   0.0   0.0   0:00.01 at-spi-+
   2839 siddhan+  20   0   25732   4232   3788 S   0.0   0.0   0:00.38 dbus-da+
   2857 siddhan+  20   0   90064   4244   3824 S   0.0   0.0   0:00.00 gnome-s+
   2863 siddhan+  20   0  697540  15404  12672 S   0.0   0.1   0:00.28 gnome-s+
   2879 siddhan+  20   0 4623000 341156 107116 S   0.0   2.1   8:13.72 gnome-s+
   2903 siddhan+  20   0  319408   8320   6860 S   0.0   0.1   0:00.60 ibus-da+
   2907 siddhan+  20   0  162708   7040   6412 S   0.0   0.0   0:00.01 ibus-me+
   2908 siddhan+  20   0  275728  31068  17480 S   0.0   0.2   0:02.32 ibus-ex+
   2912 siddhan+  20   0  197924  27724  17876 S   0.0   0.2   0:00.46 ibus-x11
   2915 siddhan+  20   0  236508   7452   6540 S   0.0   0.0   0:00.66 ibus-po+
   2924 siddhan+  20   0  162836   7436   6660 S   0.0   0.0   0:01.68 at-spi2+
   2928 siddhan+  20   0  235600   4564   4120 S   0.0   0.0   0:00.02 xdg-per+
   2933 siddhan+  20   0  589492  18020  15472 S   0.0   0.1   0:00.08 gnome-s+
   2939 siddhan+  20   0 1078700  24884  20944 S   0.0   0.2   0:00.13 evoluti+
   2950 siddhan+  20   0 1387864  29660  25216 S   0.0   0.2   0:00.21 evoluti+
   2960 siddhan+  20   0  156368   5828   5048 S   0.0   0.0   0:00.07 dconf-s+
   2964 siddhan+  20   0  681688  27784  24256 S   0.0   0.2   0:00.11 evoluti+
   2979 siddhan+  20   0 2733696  26832  21516 S   0.0   0.2   0:00.21 gjs
   2987 siddhan+  20   0  314088   8096   6716 S   0.0   0.0   0:00.12 gvfsd-t+
   3000 siddhan+  20   0  309532   6344   5744 S   0.0   0.0   0:00.02 gsd-a11+
   3001 siddhan+  20   0  709468  29636  19196 S   0.0   0.2   0:00.67 gsd-col+
   3002 siddhan+  20   0  373620  15616  13680 S   0.0   0.1   0:00.05 gsd-dat+
   3003 siddhan+  20   0  311808   7684   6852 S   0.0   0.0   0:00.70 gsd-hou+
   3006 siddhan+  20   0  354472  28156  18104 S   0.0   0.2   0:00.50 gsd-key+
   3007 siddhan+  20   0 1106372  30056  19356 S   0.0   0.2   0:00.72 gsd-med+
   3008 siddhan+  20   0  769112  30796  19896 S   0.0   0.2   0:00.85 gsd-pow+
   3012 siddhan+  20   0  256864  11188   9704 S   0.0   0.1   0:00.17 gsd-pri+
   3013 siddhan+  20   0  457104   6072   5440 S   0.0   0.0   0:00.07 gsd-rfk+
   3015 siddhan+  20   0  235512   5920   5396 S   0.0   0.0   0:00.03 gsd-scr+
   3019 siddhan+  20   0  465052  10596   8188 S   0.0   0.1   0:01.04 gsd-sha+
   3021 siddhan+  20   0  388896   8368   7540 S   0.0   0.1   0:00.03 gsd-sma+
   3025 siddhan+  20   0  319356   8484   7480 S   0.0   0.1   0:00.03 gsd-sou+
   3028 siddhan+  20   0  458696   7220   6460 S   0.0   0.0   0:00.03 gsd-usb+
   3030 siddhan+  20   0  345428  27700  17604 S   0.0   0.2   0:00.51 gsd-wac+
   3032 siddhan+  20   0  387824   7972   7044 S   0.0   0.0   0:00.04 gsd-wwan
   3042 siddhan+  20   0  346844  29580  19032 S   0.0   0.2   0:00.59 gsd-xse+
   3065 siddhan+  20   0  654228  56656  40504 S   0.0   0.3   0:00.62 evoluti+
   3075 siddhan+  20   0 2154124 121544  84232 S   0.0   0.7   0:04.43 PanGPUI
   3080 siddhan+  20   0  231804   5936   4588 S   0.0   0.0   0:00.02 gsd-dis+
   3118 siddhan+  20   0  162700   7036   6408 S   0.0   0.0   0:00.12 ibus-en+
   3135 siddhan+  20   0  342184  14684  12776 S   0.0   0.1   0:00.02 gsd-pri+
   3204 lp        20   0   15332   6348   5548 S   0.0   0.0   0:00.03 dbus
